country,date,cumulative,new,relative
Belgium,1/22/20,0,0,0
Belgium,1/23/20,0,0,0
Belgium,1/24/20,0,0,0
Belgium,1/25/20,0,0,0
Belgium,1/26/20,0,0,0
Belgium,1/27/20,0,0,0
Belgium,1/28/20,0,0,0
Belgium,1/29/20,0,0,0
Belgium,1/30/20,0,0,0
Belgium,1/31/20,0,0,0
Belgium,2/1/20,0,0,0
Belgium,2/2/20,0,0,0
Belgium,2/3/20,0,0,0
Belgium,2/4/20,1,1,0
Belgium,2/5/20,1,0,0
Belgium,2/6/20,1,0,0
Belgium,2/7/20,1,0,0
Belgium,2/8/20,1,0,0
Belgium,2/9/20,1,0,0
Belgium,2/10/20,1,0,0
Belgium,2/11/20,1,0,0
Belgium,2/12/20,1,0,0
Belgium,2/13/20,1,0,0
Belgium,2/14/20,1,0,0
Belgium,2/15/20,1,0,0
Belgium,2/16/20,1,0,0
Belgium,2/17/20,1,0,0
Belgium,2/18/20,1,0,0
Belgium,2/19/20,1,0,0
Belgium,2/20/20,1,0,0
Belgium,2/21/20,1,0,0
Belgium,2/22/20,1,0,0
Belgium,2/23/20,1,0,0
Belgium,2/24/20,1,0,0
Belgium,2/25/20,1,0,0
Belgium,2/26/20,1,0,0
Belgium,2/27/20,1,0,0
Belgium,2/28/20,1,0,0
Belgium,2/29/20,1,0,0
Belgium,3/1/20,2,1,0
Belgium,3/2/20,8,6,0
Belgium,3/3/20,13,5,0
Belgium,3/4/20,23,10,0
Belgium,3/5/20,50,27,0
Belgium,3/6/20,109,59,0
Belgium,3/7/20,169,60,0
Belgium,3/8/20,200,31,1
Belgium,3/9/20,239,39,1
Belgium,3/10/20,267,28,2
Belgium,3/11/20,314,47,2
Belgium,3/12/20,314,0,2
Belgium,3/13/20,559,245,2
Belgium,3/14/20,689,130,3
Belgium,3/15/20,886,197,4
Belgium,3/16/20,1058,172,5
Belgium,3/17/20,1243,185,7
Belgium,3/18/20,1486,243,8
Belgium,3/19/20,1795,309,10
Belgium,3/20/20,2257,462,12
Belgium,3/21/20,2815,558,14
Belgium,3/22/20,3401,586,18
Belgium,3/23/20,3743,342,21
Belgium,3/24/20,4269,526,23
Belgium,3/25/20,4937,668,26
Belgium,3/26/20,6235,1298,30
Belgium,3/27/20,7284,1049,38
Belgium,3/28/20,9134,1850,43
Belgium,3/29/20,10836,1702,55
Belgium,3/30/20,11899,1063,64
Belgium,3/31/20,12775,876,71
Belgium,4/1/20,13964,1189,74
Belgium,4/2/20,15348,1384,78
Belgium,4/3/20,16770,1422,79
Belgium,4/4/20,18431,1661,82
Belgium,4/5/20,19691,1260,80
Belgium,4/6/20,20814,1123,77
Belgium,4/7/20,22194,1380,77
Belgium,4/8/20,23403,1209,82
Belgium,4/9/20,24983,1580,82
Belgium,4/10/20,26667,1684,83
Belgium,4/11/20,28018,1351,86
Belgium,4/12/20,29647,1629,83
Belgium,4/13/20,30589,942,86
Belgium,4/14/20,31119,530,85
Belgium,4/15/20,33573,2454,77
Belgium,4/16/20,34809,1236,88
Belgium,4/17/20,36138,1329,85
Belgium,4/18/20,37183,1045,82
Belgium,4/19/20,38496,1313,79
Belgium,4/20/20,39983,1487,77
Belgium,4/21/20,40956,973,81
Belgium,4/22/20,41889,933,85
Belgium,4/23/20,42797,908,72
Belgium,4/24/20,44293,1496,69
Belgium,4/25/20,45325,1032,71
Belgium,4/26/20,46134,809,70
Belgium,4/27/20,46687,553,66
Belgium,4/28/20,47334,647,58
Belgium,4/29/20,47859,525,55
Belgium,4/30/20,48519,660,51
Belgium,5/1/20,49032,513,49
Belgium,5/2/20,49517,485,41
Belgium,5/3/20,49906,389,36
Belgium,5/4/20,50267,361,32
Belgium,5/5/20,50509,242,31
Belgium,5/6/20,50781,272,27
Belgium,5/7/20,51420,639,25
Belgium,5/8/20,52011,591,25
Belgium,5/9/20,52596,585,25
Belgium,5/10/20,53081,485,26
Belgium,5/11/20,53449,368,27
Belgium,5/12/20,53779,330,27
Belgium,5/13/20,53981,202,28
Belgium,5/14/20,54288,307,27
Belgium,5/15/20,54644,356,24
Belgium,5/16/20,54989,345,22
Belgium,5/17/20,55280,291,20
Belgium,5/18/20,55559,279,19
Belgium,5/19/20,55791,232,18
Belgium,5/20/20,55983,192,17
Belgium,5/21/20,56235,252,17
Belgium,5/22/20,56511,276,16
Belgium,5/23/20,56810,299,16
Belgium,5/24/20,57092,282,15
Belgium,5/25/20,57342,250,15
Belgium,5/26/20,57455,113,15
Belgium,5/27/20,57592,137,14
Belgium,5/28/20,57849,257,14
Belgium,5/29/20,58061,212,14
Belgium,5/30/20,58186,125,13
Belgium,5/31/20,58381,195,11
Belgium,6/1/20,58517,136,11
Belgium,6/2/20,58615,98,10
Belgium,6/3/20,58685,70,10
Belgium,6/4/20,58767,82,9
Belgium,6/5/20,58907,140,7
Belgium,6/6/20,59072,165,7
Belgium,6/7/20,59226,154,7
Belgium,6/8/20,59348,122,7
Belgium,6/9/20,59437,89,7
Belgium,6/10/20,59569,132,7
Belgium,6/11/20,59711,142,7
Belgium,6/12/20,59819,108,8
Belgium,6/13/20,59918,99,7
Belgium,6/14/20,60029,111,7
Belgium,6/15/20,60100,71,6
Belgium,6/16/20,60155,55,6
Belgium,6/17/20,60244,89,6
Belgium,6/18/20,60348,104,5
Belgium,6/19/20,60476,128,5
Belgium,6/20/20,60550,74,5
Belgium,6/21/20,60550,0,5
Belgium,6/22/20,60550,0,4
Belgium,6/23/20,60810,260,3
Belgium,6/24/20,60898,88,5
Belgium,6/25/20,61007,109,5
Belgium,6/26/20,61106,99,5
Belgium,6/27/20,61209,103,5
Belgium,6/28/20,61295,86,5
Belgium,6/29/20,61361,66,6
Belgium,6/30/20,61427,66,7
Belgium,7/1/20,61509,82,5
Belgium,7/2/20,61598,89,5
Belgium,7/3/20,61727,129,5
Belgium,7/4/20,61838,111,5
Belgium,7/5/20,62016,178,5
Belgium,7/6/20,62058,42,6
Belgium,7/7/20,62058,0,6
Belgium,7/8/20,62123,65,5
Belgium,7/9/20,62210,87,5
Belgium,7/10/20,62357,147,5
Belgium,7/11/20,62469,112,5
Belgium,7/12/20,62707,238,5
Belgium,7/13/20,62707,0,6
Belgium,7/14/20,62781,74,5
Belgium,7/15/20,62872,91,6
Belgium,7/16/20,63238,366,6
Belgium,7/17/20,63499,261,8
Belgium,7/18/20,63706,207,9
Belgium,7/19/20,63706,0,10
Belgium,7/20/20,64094,388,8
Belgium,7/21/20,64258,164,12
Belgium,7/22/20,64627,369,12
Belgium,7/23/20,64847,220,15
Belgium,7/24/20,65199,352,14
Belgium,7/25/20,65727,528,14
Belgium,7/26/20,66026,299,17
Belgium,7/27/20,66428,402,20
Belgium,7/28/20,66662,234,20
Belgium,7/29/20,67335,673,20
Belgium,7/30/20,68006,671,23
Belgium,7/31/20,68751,745,27
Belgium,8/1/20,69402,651,30
Belgium,8/2/20,69849,447,32
Belgium,8/3/20,70314,465,33
Belgium,8/4/20,70648,334,33
Belgium,8/5/20,71158,510,34
Belgium,8/6/20,72016,858,33
Belgium,8/7/20,72784,768,34
Belgium,8/8/20,73401,617,35
Belgium,8/9/20,74152,751,34
Belgium,8/10/20,74620,468,37
Belgium,8/11/20,75008,388,37
Belgium,8/12/20,75647,639,37
Belgium,8/13/20,76191,544,39
Belgium,8/14/20,77113,922,36
Belgium,8/15/20,77869,756,37
Belgium,8/16/20,78323,454,38
Belgium,8/17/20,78534,211,36
Belgium,8/18/20,78897,363,34
Belgium,8/19/20,79479,582,33
Belgium,8/20/20,80178,699,33
Belgium,8/21/20,80894,716,34
Belgium,8/22/20,81468,574,32
Belgium,8/23/20,81936,468,31
Belgium,8/24/20,82092,156,31
Belgium,8/25/20,82447,355,30
Belgium,8/26/20,83030,583,30
Belgium,8/27/20,83500,470,30
Belgium,8/28/20,83952,452,28
Belgium,8/29/20,84599,647,26
Belgium,8/30/20,85042,443,27
Belgium,8/31/20,85236,194,27
Belgium,9/1/20,85487,251,27
Belgium,9/2/20,85911,424,26
Belgium,9/3/20,86544,633,25
Belgium,9/4/20,87174,630,26
Belgium,9/5/20,87825,651,28
Belgium,9/6/20,88367,542,28
Belgium,9/7/20,88769,402,28
Belgium,9/8/20,89141,372,30
Belgium,9/9/20,89691,550,31
Belgium,9/10/20,90568,877,32
Belgium,9/11/20,91537,969,35
Belgium,9/12/20,92478,941,37
Belgium,9/13/20,93455,977,40
Belgium,9/14/20,94306,851,44
Belgium,9/15/20,94795,489,48
Belgium,9/16/20,95948,1153,49
Belgium,9/17/20,97976,2028,54
Belgium,9/18/20,99649,1673,64
Belgium,9/19/20,100748,1099,70
Belgium,9/20/20,102295,1547,72
Belgium,9/21/20,103392,1097,76
Belgium,9/22/20,105226,1834,79
Belgium,9/23/20,106887,1661,90
Belgium,9/24/20,108768,1881,95
Belgium,9/25/20,110976,2208,93
Belgium,9/26/20,112803,1827,98
Belgium,9/27/20,114179,1376,104
Belgium,9/28/20,115353,1174,103
Belgium,9/29/20,117115,1762,104
Belgium,9/30/20,118452,1337,103
Belgium,10/1/20,121059,2607,100
Belgium,10/2/20,124234,3175,107
Belgium,10/3/20,127623,3389,115
Belgium,10/4/20,130235,2612,129
Belgium,10/5/20,132203,1968,139
Belgium,10/6/20,134291,2088,146
Belgium,10/7/20,137868,3577,149
Belgium,10/8/20,143596,5728,169
Belgium,10/9/20,148981,5385,196
Belgium,10/10/20,156931,7950,215
Belgium,10/11/20,162258,5327,255
Belgium,10/12/20,165880,3622,278
Belgium,10/13/20,173240,7360,293
Belgium,10/14/20,181511,8271,339
Belgium,10/15/20,191959,10448,380
Belgium,10/16/20,202151,10192,421
Belgium,10/17/20,213115,10964,462
Belgium,10/18/20,222253,9138,489
Belgium,10/19/20,230480,8227,522
Belgium,10/20/20,240159,9679,562
Belgium,10/21/20,253386,13227,582
Belgium,10/22/20,270132,16746,625
Belgium,10/23/20,287700,17568,680
Belgium,10/24/20,305409,17709,744
Belgium,10/25/20,321031,15622,803
Belgium,10/26/20,333718,12687,860
Belgium,10/27/20,347289,13571,898
Belgium,10/28/20,368337,21048,932
Belgium,10/29/20,392258,23921,1000
Belgium,10/30/20,412314,20056,1063
Belgium,10/31/20,429229,16915,1085
Belgium,11/1/20,441018,11789,1078
Belgium,11/2/20,447355,6337,1044
Belgium,11/3/20,452541,5186,989
Belgium,11/4/20,468213,15672,916
Belgium,11/5/20,479341,11128,869
Belgium,11/6/20,488044,8703,758
Belgium,11/7/20,494168,6124,659
Belgium,11/8/20,500789,6621,565
Belgium,11/9/20,503182,2393,520
Belgium,11/10/20,507475,4293,486
Belgium,11/11/20,515391,7916,478
Belgium,11/12/20,520393,5002,410
Belgium,11/13/20,525012,4619,357
Belgium,11/14/20,531280,6268,321
Belgium,11/15/20,535939,4659,323
Belgium,11/16/20,537871,1932,306
Belgium,11/17/20,540605,2734,302
Belgium,11/18/20,545787,5182,288
Belgium,11/19/20,550264,4477,264
Belgium,11/20/20,553680,3416,260
Belgium,11/21/20,556904,3224,249
Belgium,11/22/20,558779,1875,223
Belgium,11/23/20,559902,1123,198
Belgium,11/24/20,561803,1901,191
Belgium,11/25/20,564967,3164,184
Belgium,11/26/20,567532,2565,167
Belgium,11/27/20,570829,3297,150
Belgium,11/28/20,574448,3619,149
Belgium,11/29/20,576599,2151,152
Belgium,11/30/20,577345,746,155
Belgium,12/1/20,579212,1867,151
Belgium,12/2/20,582252,3040,151
Belgium,12/3/20,584857,2605,150
Belgium,12/4/20,587439,2582,150
Belgium,12/5/20,589942,2503,144
Belgium,12/6/20,591756,1814,134
Belgium,12/7/20,592615,859,131
Belgium,12/8/20,594572,1957,132
Belgium,12/9/20,597643,3071,133
Belgium,12/10/20,600397,2754,134
Belgium,12/11/20,600397,0,135
Belgium,12/12/20,603159,2762,112
Belgium,12/13/20,608137,4978,115
Belgium,12/14/20,609211,1074,142
Belgium,12/15/20,611422,2211,144
Belgium,12/16/20,615058,3636,146
Belgium,12/17/20,618204,3146,151
Belgium,12/18/20,621039,2835,155
Belgium,12/19/20,623760,2721,179
Belgium,12/20/20,625930,2170,179
Belgium,12/21/20,626911,981,154
Belgium,12/22/20,629109,2198,154
Belgium,12/23/20,632321,3212,154
Belgium,12/24/20,634904,2583,150
Belgium,12/25/20,637246,2342,145
Belgium,12/26/20,638030,784,141
Belgium,12/27/20,638877,847,124
Belgium,12/28/20,639734,857,112
Belgium,12/29/20,641411,1677,111
Belgium,12/30/20,644242,2831,107
Belgium,12/31/20,646496,2254,103
Belgium,1/1/21,648289,1793,100
Belgium,1/2/21,649169,880,96
Belgium,1/3/21,650011,842,96
Belgium,1/4/21,650887,876,96
Belgium,1/5/21,652735,1848,97
Belgium,1/6/21,655732,2997,98
Belgium,1/7/21,658655,2923,100
Belgium,1/8/21,660703,2048,105
Belgium,1/9/21,662694,1991,108
Belgium,1/10/21,664263,1569,117
Belgium,1/11/21,665223,960,124
Belgium,1/12/21,667322,2099,124
Belgium,1/13/21,670249,2927,127
Belgium,1/14/21,672886,2637,126
Belgium,1/15/21,675089,2203,123
Belgium,1/16/21,677209,2120,125
Belgium,1/17/21,678839,1630,126
Belgium,1/18/21,679771,932,126
Belgium,1/19/21,681250,1479,126
Belgium,1/20/21,684256,3006,121
Belgium,1/21/21,686827,2571,121
Belgium,1/22/21,689271,2444,121
Belgium,1/23/21,691854,2583,123
Belgium,1/24/21,693666,1812,127
Belgium,1/25/21,694858,1192,129
Belgium,1/26/21,696642,1784,131
Belgium,1/27/21,699662,3020,134
Belgium,1/28/21,702437,2775,134
Belgium,1/29/21,705120,2683,135
Belgium,1/30/21,707837,2717,138
Belgium,1/31/21,710153,2316,139
Belgium,2/1/21,711417,1264,143
Belgium,2/2/21,713271,1854,144
Belgium,2/3/21,716395,3124,144
Belgium,2/4/21,718847,2452,145
Belgium,2/5/21,721432,2585,142
Belgium,2/6/21,723870,2438,142
Belgium,2/7/21,725610,1740,139
Germany,1/22/20,0,0,0
Germany,1/23/20,0,0,0
Germany,1/24/20,0,0,0
Germany,1/25/20,0,0,0
Germany,1/26/20,0,0,0
Germany,1/27/20,1,1,0
Germany,1/28/20,4,3,0
Germany,1/29/20,4,0,0
Germany,1/30/20,4,0,0
Germany,1/31/20,5,1,0
Germany,2/1/20,8,3,0
Germany,2/2/20,10,2,0
Germany,2/3/20,12,2,0
Germany,2/4/20,12,0,0
Germany,2/5/20,12,0,0
Germany,2/6/20,12,0,0
Germany,2/7/20,13,1,0
Germany,2/8/20,13,0,0
Germany,2/9/20,14,1,0
Germany,2/10/20,14,0,0
Germany,2/11/20,16,2,0
Germany,2/12/20,16,0,0
Germany,2/13/20,16,0,0
Germany,2/14/20,16,0,0
Germany,2/15/20,16,0,0
Germany,2/16/20,16,0,0
Germany,2/17/20,16,0,0
Germany,2/18/20,16,0,0
Germany,2/19/20,16,0,0
Germany,2/20/20,16,0,0
Germany,2/21/20,16,0,0
Germany,2/22/20,16,0,0
Germany,2/23/20,16,0,0
Germany,2/24/20,16,0,0
Germany,2/25/20,17,1,0
Germany,2/26/20,27,10,0
Germany,2/27/20,46,19,0
Germany,2/28/20,48,2,0
Germany,2/29/20,79,31,0
Germany,3/1/20,130,51,0
Germany,3/2/20,159,29,0
Germany,3/3/20,196,37,0
Germany,3/4/20,262,66,0
Germany,3/5/20,482,220,0
Germany,3/6/20,670,188,0
Germany,3/7/20,799,129,0
Germany,3/8/20,1040,241,0
Germany,3/9/20,1176,136,1
Germany,3/10/20,1457,281,1
Germany,3/11/20,1908,451,1
Germany,3/12/20,2078,170,1
Germany,3/13/20,3675,1597,1
Germany,3/14/20,4585,910,3
Germany,3/15/20,5795,1210,4
Germany,3/16/20,7272,1477,5
Germany,3/17/20,9257,1985,7
Germany,3/18/20,12327,3070,9
Germany,3/19/20,15320,2993,12
Germany,3/20/20,19848,4528,15
Germany,3/21/20,22213,2365,19
Germany,3/22/20,24873,2660,21
Germany,3/23/20,29056,4183,22
Germany,3/24/20,32986,3930,26
Germany,3/25/20,37323,4337,28
Germany,3/26/20,43938,6615,30
Germany,3/27/20,50871,6933,34
Germany,3/28/20,57695,6824,37
Germany,3/29/20,62095,4400,42
Germany,3/30/20,66885,4790,44
Germany,3/31/20,71808,4923,45
Germany,4/1/20,77872,6064,46
Germany,4/2/20,84794,6922,48
Germany,4/3/20,91159,6365,49
Germany,4/4/20,96092,4933,48
Germany,4/5/20,100123,4031,46
Germany,4/6/20,103374,3251,45
Germany,4/7/20,107663,4289,43
Germany,4/8/20,113296,5633,43
Germany,4/9/20,118181,4885,42
Germany,4/10/20,122171,3990,40
Germany,4/11/20,124908,2737,37
Germany,4/12/20,127854,2946,34
Germany,4/13/20,130072,2218,33
Germany,4/14/20,131359,1287,32
Germany,4/15/20,134753,3394,28
Germany,4/16/20,137698,2945,25
Germany,4/17/20,141397,3699,23
Germany,4/18/20,143342,1945,23
Germany,4/19/20,145184,1842,22
Germany,4/20/20,147065,1881,20
Germany,4/21/20,148291,1226,20
Germany,4/22/20,150648,2357,20
Germany,4/23/20,153129,2481,19
Germany,4/24/20,154999,1870,18
Germany,4/25/20,156513,1514,16
Germany,4/26/20,157770,1257,15
Germany,4/27/20,158758,988,15
Germany,4/28/20,159912,1154,14
Germany,4/29/20,161539,1627,13
Germany,4/30/20,163009,1470,13
Germany,5/1/20,164077,1068,11
Germany,5/2/20,164967,890,10
Germany,5/3/20,165664,697,10
Germany,5/4/20,166152,488,9
Germany,5/5/20,167007,855,8
Germany,5/6/20,168162,1155,8
Germany,5/7/20,169430,1268,7
Germany,5/8/20,170588,1158,7
Germany,5/9/20,171324,736,7
Germany,5/10/20,171879,555,7
Germany,5/11/20,172576,697,7
Germany,5/12/20,173171,595,7
Germany,5/13/20,174098,927,7
Germany,5/14/20,174478,380,7
Germany,5/15/20,175233,755,6
Germany,5/16/20,175752,519,5
Germany,5/17/20,176369,617,5
Germany,5/18/20,176551,182,5
Germany,5/19/20,177778,1227,4
Germany,5/20/20,178473,695,5
Germany,5/21/20,179021,548,5
Germany,5/22/20,179710,689,5
Germany,5/23/20,179986,276,5
Germany,5/24/20,180328,342,5
Germany,5/25/20,180600,272,4
Germany,5/26/20,181200,600,4
Germany,5/27/20,181524,324,4
Germany,5/28/20,182196,672,3
Germany,5/29/20,182922,726,3
Germany,5/30/20,183189,267,3
Germany,5/31/20,183410,221,3
Germany,6/1/20,183594,184,3
Germany,6/2/20,183879,285,3
